Title,Source,Question,Question Link,Question Author,Question Date,Answer,Answer Link,Answer Author,Answer Date
측만증치료 해야 할까요?,,"안녕하세요
초등학교 여자아이를 키우는 엄마 입니다.
다름이 아니라 저희 아이가 다른 병원에서 측만증 진단을 받았는데 측만증을 치료 해야 하는건가요
아이가 아직 초등학생이니 그냥 두면 되는건지 치료를 해야 하는지 궁금합니다.
아이는 어릴때 부터 운동이라고는 택권도 말고는 한것이 없는데 왜 측만증이 생겼는지...
측만증치료를 꼭 해야 하는 건가요?",http://xn--od1b68l0cz88csgeeoi.com/bbs/board.php?bo_table=online&wr_id=796&page=1,관우 엄마,04-01,No answer,N/A,N/A,N/A
허리 수술해야 될까요?,,"안녕하세요
최근에 허리가 아파서 병원에 갔더니 수술을 하자고 하더라구요
평소에 허리가 가끔 아픈 경우가 있었는데 최근 일을 하다가 삐긋 하는 일이 있었는데 움직은게 너무 힘들더군요
그래서 집근처 병원에 갔더니 수술 이야기 부터 하던데 수술은 제가 좀...
허리 수술을 하지 말라고 말도 많이 들어서
형편상 일을 쉴수도 없어서 수술하게 되면 입원도 해야 하고 수술없이 치료를 할수 있나요?
수술은 안하고 싶은데
좀 쉬면 괜찮아 질런지도 궁금합니다.
답변 부탁 드립니다.",http://xn--od1b68l0cz88csgeeoi.com/bbs/board.php?bo_table=online&wr_id=792&page=1,민수,03-10,"온누리통증의원 김영환원장입니다.
진료받으신 병원에서 어떠한 진단과 판단으로 수술을 권유하셨는지가 일단 명확하지 않기 때문에 다변을 드리는데 한계와 조심스러움이 있습니다.
일단 허리수술을 한다는 목적에 대해서 횐자분도 이해를 하셔야 합니다. 허리수술은 허리 문제의 다양한 이유와 진단, 상태등이 있을 건데 허리로부터 하지로 이어지는 신경의 영구적 손상을 수술적 치료를 제외한 보존적 치료로는 방법이 없을 때 시행하는 겁니다.따라서 환자분이 수술을 하기 싫다고 해도 반드시 해야 하는 수술도 있는 겁니다.하지만 수술을 하게 되며 신경은 보존될지 모르지만 허리의 기능적 부분은 휴유증이 남을 수 밖에 없으므로 허리기능상실 부분과 신경보존 양쪽에 대해서 고민을 해야 하는 게 중요합니다.
현재 환자분의 증상 표현만으로 보존적 치료가 가능한지 허리를 사용하는 운동기능등에 문제는 어느 정도인지 확인할수 없으므로 진찰과 진료가 필요해 보입니다.
환자분도 또한 알고 계셔야 하는 부분은 허리에 문제가 있어 지금 아프고 불편하신 것을 해결하는 것도 중요하지만 휴유증 없이 낫고 재발을 방지하는 것은 더욱 중요한 만큼 본인의 생활등에서 일하는 것을 제외한 부분의 개선에 대한 본인 의지와 노력이 같이 있어야 향후에 문제가 없는 허리가 된다는 사실입니다.
허리에 대한 신경치료등을 포함한 다양한 보존적 치료와 허리 상태에 대한 기능적 평가를 포함과 검진과 재활운동치료스케줄도 본원은 갖추고 있는 만큼 시간이 되시면 내원하셔서 진료 받아 보시길 권해 드릴게요.
여하튼 빠른 쾌유로 건강한 허리로 빠른 시간내에 회복하시길 바라겠습니다.",http://xn--od1b68l0cz88csgeeoi.com/bbs/board.php?bo_table=online&wr_id=795&page=1,관리자,03-10
엄마가 허리가 아프데요,,"엄마가 허리가 아프다는데 병원에서 치료 받으면 될까요
허리 아프다고 하시면서도 병원에 가지 않으시네요
그냥 있으면 괜찮아 질거라고 하시는데 그냥 있어도 될런지 ㅡ.,ㅡ",http://xn--od1b68l0cz88csgeeoi.com/bbs/board.php?bo_table=online&wr_id=791&page=1,희현,03-10,"온누리통증의원 김영환원장입니다.
몸의 어느 부위의 불편감이나 통증도 아무리 사사로운 강도일지라도 가끔 아프고 괜찮을 때가 있다고 하더라도 원인이 존재합니다.
참을 만 하다고 두게 되면 원인도 복잡해 지고 질환도 깊어 지게 됩니다.
허리에 경우도 넘어지거나 다치지 않은 상태라면 아무리 힘들게 허리를 쓰시는 분이라도 허리의 기능적 특성과 지속적이고 반복되는 통증이 있다는 건 정상이 아닙니다.
기회 되신다면 병원에 내원하셔서 허리 증상이 만성이 되지 않게 하는 치료와 원인에 대한 상담과 진료를 받아 보시길 바랍니다.
좋은 하루되세요",http://xn--od1b68l0cz88csgeeoi.com/bbs/board.php?bo_table=online&wr_id=794&page=1,관리자,03-10
날개뼈 근처 통증,,"안녕하세요
다름이 아니라 최근에 날개뼈 근처가 많이 아파서 고생하고 있는데요
이런곳도 치료 가능할까요
운동을 하고 있는것도 아닌데 왜 이쪽이 아픈지 모르겠네요
치료가능한지 혹 왜 아픈건지 알수 있을까요?",http://xn--od1b68l0cz88csgeeoi.com/bbs/board.php?bo_table=online&wr_id=790&page=1,훈,03-10,"온누리통증의원 김영환원장입니다.
견갑골 주위 통증으로 고생하시는 걸로 보입니다.
당연히 저희 병원에서 치료가 가능합니다.
이러한 견갑골 주위 통증은 다치거나 하지 않은 전제하에 근육 근막의 과긴장과 부종등에 의한 근육근막통증과 이러한 상태의 근육근막에 의해 근막 사이에 존재하는 신경과 혈관이 이차적으로 압박되어 신경통, 혈관통이 유발되어 생긴 것으로 판단됩니다.
근복적인 원인을 찾다 보면 만성적인 경추 견갑골 긴장도를 필요하게 된 신체기능, 자세등 오래기간의 문제로 유발될 수 있습니다.
통증 완화를 위한 다양한 치료적 접근과 만성적으로 내제된 문제에 대한 재발 방지를 재활적 치료등을 시행하고 있으므로 명확한 상태 파악과 그에 따른 적절한 치료가 이루어 질수 있도록 내원하셔서 진찰과 상담 받아 보시길 권해 드릴게요.
아무쪼록 빠른 쾌유를 빌겠습니다.",http://xn--od1b68l0cz88csgeeoi.com/bbs/board.php?bo_table=online&wr_id=793&page=1,관리자,03-10
무릅 dna주사도 가능합니까,,무릅 dna주사 치료도 시술합니까.,http://xn--od1b68l0cz88csgeeoi.com/bbs/board.php?bo_table=online&wr_id=788&page=1,무릅,02-06,"온누리통증의원 김영환 원장입니다.
PDRN(플라센텍스) 일명 DNA주사 치료를 무릎에 적용해서 당연히 저희 병원에서도 시행하고 있습니다.
하지만 중요한 것은 무릎이 불편하시다면 그 원인이 중요하고 원인에 따른 적절한 치료가 적용되어야지만 증상에 개선뿐만 아니라 휴유증이 남지 않을 겁니다.
따라서 DNA 주사치료에 도움을 받으실수 있는 문제인지 일차적인 확인 무엇보다 중요하리라 여겨딥니다.
병원 방문하셔서 원인에 대한 정확한 확인후 치료 방법들에 대해서 상담 받아 보시길 권해 드립니다.
좋은 하루되세요.",http://xn--od1b68l0cz88csgeeoi.com/bbs/board.php?bo_table=online&wr_id=789&page=1,관리자,02-06
허리가 갑자기 아파요,,"저 갑자기 허리가 아프네요
일어서기도 힘들고 걷기도 힘들어서 지금은 누워만 있습니다.
여기 저기 알아보니 디스크가 터진거라고 하는데 큰 병원 가면 바로 수술을 하자고 할듯하여
혹 이 병원에서는 수술없이 치료가 가능 할런지 문의 드립니다.
평소에 허리가 좋지 않다고 느낀 적은 없는데
지금은 누워 있는것 만 가능....
혹시 치료 가능할까요?
큰 병원 가서 수술하고 치료 하기가 여건이 안돼서...
답변 부탁드립니다.",http://xn--od1b68l0cz88csgeeoi.com/bbs/board.php?bo_table=online&wr_id=786&page=1,성호,01-17,"온누리통증의원 김영환원장입니다.
평상시 별문제 없으시다가 갑작스러운 통증과 불편감으로 힘드실 것라 생각됩니다.
허리 요추등의 문제가 심각해져서 어쩔수 없이 수술을 해야만 하는 경우는 수술적 방법이 요추로부터 골반을 거쳐서 하지로 내려가는 신경의 영구적 손상으로 인한 신경장애를 막을 수 있는 유일한 경우에만 수술을 고려해야 합니다. 왜냐면 어떠한 형태의 허리수술도 수술후 허리기능이나 허리상태가 좋아지게 하는 수술은 없기 때문입니다.
보존적 치료로 허리 통증을 해결 가능하신 상태인지에 대한 평가가 일단은 필요하고 그에 따라 치료 방법, 치료약제, 치료후 재활과정까지 다르게 적용되는 만큼 내원하셔서 진료와 상담을 받아 보시길 바랍니다.",http://xn--od1b68l0cz88csgeeoi.com/bbs/board.php?bo_table=online&wr_id=787&page=1,관리자,01-17
아이 어깨 높이가 다른거 같은데 이런것도 측만증 때문 인가요?,,"안녕하세요
초등학생 여자 아이 엄마 입니다.
얼마전에 무심코 아이를 보는데 아이 어깨 높이가 다른것 같더라구요
아이가 잘못 서있는 건가 하고 보니 양 발로 서있는데 어깨 높이가 다른것이 신경 쓰여서
이야기 했더니 자기는 바로 서 있는 거라고 하는데
제가 보기에 어깨 높이가 차이가 나더군요
여기 저기 찾아 보니 측만증 때문 일수 있을것 같아 문의 드립니다.
혹 측만증 때문 이라면 치료를 하는게 맞는건지
아니면 아이에게 계속 바로 어깨 높이 맞추라고 하는게 맞는건지....
답변 부탁드립니다.",http://xn--od1b68l0cz88csgeeoi.com/bbs/board.php?bo_table=online&wr_id=783&page=1,민정,01-11,"온누리통증의원 김영환 원장입니다.
단순히 어깨 높이가 다르다고 측만이 있다고 단정할수는 없습니다.척추의 측만증이 없어도 서 있는 자세에서 양쪽 어깨 높이 차이가 발생할수 있기 때문입니다.다만 측만증의 가능성도 배제할수는 없는 만큼 확인은 필요해 보입니다.
초등학생이라면 아직 성장이 끝난 것이 아니기에 측만증이 있다면 성장 과정상에 더 측만의 악화될수 있으므로 측만증 진단이 된 경우는 확인과 관리가 필요합니다. 또한 측만적 요소를 가진 아이들의 경우 또래들에 비해 신체 감각이나 콘트롤 능력, 근지구력등이 다소 떨이지는 경우가 흔한 만큼 정상적인 성장을 위해서 아이에 맞는 운동이 필요하고 경우에 따라서는 재활적 운동치료가 요구되기도 합니다.
측만에 대한 정확한 평가와 현재 신체기능등의 수준을 확인하기 위한 저희 병원의 검진 프로그램을 이용해 보시길 추천드립니다.
측만은 치료보다는 관리 차원의 문제인 만큼 조기에 치료를 시작할수록 예후나 경과가 좋을 가능성이 큽니다.",http://xn--od1b68l0cz88csgeeoi.com/bbs/board.php?bo_table=online&wr_id=785&page=1,관리자,01-14
아이 키가 얼마나 클까요? 알수 있나요?,,"안녕하세요
중학생 남자 아이를 키우고 있는 엄마에요
저희 아이가 또래 보다 키가 좀 작은데 예상 키를 알수 있을까요?
예상 키 보다 좀더 클수도 있는건지 궁금합니다.
키가 클려면 어떤 운동을 하는게 좋은지 알려 주실수 있을까요?",http://xn--od1b68l0cz88csgeeoi.com/bbs/board.php?bo_table=online&wr_id=782&page=1,인선,01-11,"온누리통증의원 김영환 원장입니다.
예상키는 자제분의 현재 성장판의 상태와 현재키를
통해 예측하여 가능한 예상키를 알수 있습니다.
다만 키라는 것에서 성장판과 뼈의 성장 만큼이나 중요한 것이 척추를 축으로 한 신체 균형과 이를 유지하는 기능 또한 중요하고 근육량과 근육 활용성이 중요합니다.
이러한 것들의 조화를 위해 운동이 필요한 것일 겁니다.어떠한 운동이 좋으냐에서 항상 중요한 것은 각각의 개인의 신체 기능에 맞느냐가 중요합니다. 무턱대고 운동을 많이 하는 것만이 좋은 것은 아니라는 겁니다.
성장 관련 뿐만 아니라 자녀분의 운동 관련 기능까지 확인하는 검진 프로그램이 저희 병원에 있는 만큼 기회가 되신다면 한번쯤 받아 보시길 권해 드립니다.
도움이 되셨길 바라겠습니다.",http://xn--od1b68l0cz88csgeeoi.com/bbs/board.php?bo_table=online&wr_id=784&page=1,관리자,01-14
연골 연화증,,Content not found.,http://xn--od1b68l0cz88csgeeoi.com/bbs/board.php?bo_table=online&wr_id=780&page=2,연화증,12-06,Content not found.,http://xn--od1b68l0cz88csgeeoi.com/bbs/board.php?bo_table=online&wr_id=781&page=2,관리자,12-07
소아 측만증 치료 해야 할까요?,,"안녕하세요
저 초등학교 6학년 남학생 부모입니다.
최근 아이가 학교에서 검진을 받았는데 측만증이 있다고 하네요
여기 저기 찾아 보니 치료를 해야 하는건지 아니면 그냥 두어도 될런지 판단하기 너무 어려워서
이렇게 글을 남김니다.
아이는 특별히 아픈곳은 없다고 하는데 외형적으로 이상도 보이지 않는것 같구요
아프지 않는데 치료를 꼭 해야할까요
아이 학원때문에 시간이 될런지 그것두 궁금하구요
혹 치료를 한다면 시간은 얼마나 걸린지
빠른 답변 부탁드립니다.",http://xn--od1b68l0cz88csgeeoi.com/bbs/board.php?bo_table=online&wr_id=777&page=2,찬성엄마,12-03,"온누리통증의원 김영환 원장입니다.
자제분의 측만증 진단을 들으셔서 걱정이 많으신 것 같습니다.
측만증의 정도와 부위등을 정확히 알지 못하는 상태에서 말씀 드리기에는 조심스러운 부분이 있습니다.
우선 측만증의 요소에는 선천적인 기질적 문제와 성장과정상의 운동 부족이나 잘못된 습관등과 연계된 기능적 문제가 대개는 혼재되어 있습니다.
당연히 심한 각도의 측만증이 존채해도 청소년기나  소아기에는 통증이나 불편감이 존재하지 않는 경우가 대부분입니다.성인만큼의 신체적 스트레스가 덜하니까요.
측만증이 존재하는 경우 치료적 접근을 하는 이유는 치료하는 의사 입장마다 다를 수 있겠지만 저희 병원 입장에서는 성장 과정상에 측만증이 더 진행될수 있다는 것도 문제지만 측만증의 요소를 가진 경우 성인이 되어서 측만증과 연계된 신체 기능이나 역할적인 부분이 정상인에 비해 떨어질 확률이 크고 그로 인해 근골격계 문제를 포함한 내과적 질환등에 노출될 확률이 커진다는 게 문제입니다.
본원의 경우 측만증 환자의 상태를 확인할 때 단순히 방사선 소견상의 각도나 모양만 확인하는 것이 아니라 신체 기능적 문제점 유무에 대한 확인도 같이 진행하는 만큼 내원하셔서 확인해 보시길 권해 드립니다. 재활적 부분의 치료를 시행하는 경우 일주일에 한번 정도의 내원으로 진행하는 만큼 학업에 부담되지는 않을 것으로 보이며 현재는 불편감이 명확히 없다고 해도 신체적 안정성에 문제가 있으면 학업 집중도에도 결국 영향을 주는 만큼 공부와 운동의 균형 유지는 청소년기에 중요한 요소라 생각합니다.
미리 예약하시면 원하는 시간에 측만증 관련 검진이 가능한 만큼 시간 나실 때 한번 내원 하시길 권해 드립니다.",http://xn--od1b68l0cz88csgeeoi.com/bbs/board.php?bo_table=online&wr_id=779&page=2,관리자,12-06
